plot,genus,species,a4,a2,a-cover,a-alpha,b4,b2,b-cover,b-alpha,c4,c2,c-cover,c-alpha,d4,d2,d-cover,d-alpha
9,Agrimonia,parviflora,,,,0,1,,2,1,2,3,2,1,4,,3,1
9,LONICERA,MAACKII,,,,0,,,,0,2,,2,1,,,,0
9,Ranunculus,recurvatus,,,,0,,,,0,,2,2,1,,,,0
9,Cornus,sp.,,,,0,,,,0,1,,2,1,,,,0
9,Cardamine,douglassii,,,,0,,,,0,1,,2,1,,,,0
9,Asarum,canadense,1,,2,1,,,,0,,,,0,1,,4,1
9,Ranunculus,abortivus,,,,0,,,,0,,,,0,1,,1,1
9,LIGUSTRUM,VULGARE,,,,0,,,,0,,,,0,1,,2,1
10,Arisaema,triphyllum,2,,2,1,2,,2,1,2,2,2,1,2,3,2,1
10,LIGUSTRUM,VULGARE,,2,2,1,,,,0,,,,0,,,,0
10,LONICERA,MORROWII,1,,2,1,,,,0,,,,0,,,,0
10,ROSA,MULTIFLORA,1,,2,1,,,,0,1,,2,1,,,,0
10,Acer,saccharum,,,,0,,,,0,,,,0,,2,1,1
11,Acer,saccharum,4,3,2,1,4,2,2,1,4,2,2,1,2,3,2,1
11,Cardamine,concatenata,4,4,2,1,3,4,2,1,4,3,3,1,3,3,2,1
11,Polystichum,acrostichoides,3,,5,1,4,2,5,1,2,2,3,1,2,3,5,1
11,Allium,tricoccum,2,3,5,1,1,,4,1,,3,5,1,3,2,5,1
11,Moss,sp.,2,,3,1,2,3,2,1,1,,2,1,2,,2,1
11,Carex,sp.,2,,3,1,4,2,2,1,,3,2,1,3,2,2,1
11,LONICERA,MAACKII,2,,2,1,,,,0,,,,0,,,,0
11,Parthenocissus,quinquefolia,2,,1,1,,2,1,1,1,,2,1,2,,2,1
11,Prenanthes,sp.,,3,3,1,,2,3,1,4,4,4,1,4,3,3,1
11,Prunus,serotina,,2,2,1,2,,2,1,,3,2,1,2,4,2,1
11,Tiarella,cordifolia,,2,1,1,,,,0,,,,0,,,,0
11,Viola,rostrata,,2,2,1,1,,2,1,,,,0,,2,2,1
11,Claytonia,virginica,1,,2,1,1,,2,1,,,,0,,,,0
11,Geranium,maculatum,,2,2,1,1,,1,1,1,,2,1,,2,2,1
11,Fraxinus,sp.,1,,2,1,3,2,2,1,2,3,2,1,3,3,2,1
11,Ranunculus,recurvatus,1,,2,1,,,,0,,,,0,1,,2,1
11,Carex,pensylvanica,1,,3,1,3,,2,1,,3,2,1,3,,2,1
11,Quercus,sp.,1,,1,1,1,,1,1,,,,0,,,,0
11,Equisetum,sp.,1,,2,1,,,,0,,,,0,,2,1,1
11,Cornus,florida,1,,2,1,1,,2,1,1,,2,1,2,,2,1
11,Carpinus,caroliniana,1,,2,1,,,,0,1,,2,1,2,,2,1
11,Ulmus,sp.,1,,2,1,2,,2,1,,3,2,1,2,2,2,1
11,ALLIARIA,PETIOLATA,1,,1,1,3,3,2,1,1,,2,1,1,,2,1
11,Potentilla,simplex,1,,2,1,,,,0,,,,0,,,,0
11,Geum,sp.,1,,2,1,1,,2,1,,,,0,,,,0
11,Asteraceae,spp.,1,,2,1,,,,0,1,,2,1,2,,2,1
11,Toxicodendron,radicans,1,,1,1,1,,1,1,2,,2,1,3,,1,1
11,Viburnum,acerifolium,1,,2,1,,,,0,,,,0,,,,0
11,Podophyllum,peltatum,1,,2,1,2,2,4,1,1,,2,1,,,,0
11,Erythronium,americanum,1,,2,1,2,,2,1,,,,0,,,,0
11,Unknown,monocot,1,,2,1,1,,2,1,1,,2,1,,,,0
11,Rubus,allegheniensis,1,,1,1,1,,2,1,1,,2,1,,2,2,1
11,Sanguinaria,canadensis,,,,0,3,,2,1,,,,0,,,,0
11,BERBERIS,THUNBERGII,,,,0,2,,3,1,,,,0,1,,2,1
11,Lysimachia,ciliata,,,,0,2,,1,1,1,,1,1,,,,0
11,Galium,sp.,,,,0,1,,2,1,2,,2,1,,2,2,1
11,Thelypteris,noveboracensis,,,,0,2,2,4,1,,3,2,1,,,,0
11,Carex,laxiculmis,,,,0,2,,2,1,,,,0,,,,0
11,RHAMNUS,FRANGULA,,,,0,2,,1,1,,,,0,,,,0
11,Crataegus,sp.,,,,0,,3,2,1,,,,0,,,,0
11,Galium,asprellum,,,,0,,2,2,1,,,,0,,,,0
11,Polygonatum,pubescens,,,,0,1,,2,1,,,,0,,,,0
11,Carya,sp.,,,,0,1,,1,1,,,,0,1,,1,1
11,Circaea,lutetiana,,,,0,1,,2,1,1,,2,1,2,,2,1
11,Polygonum,virginianum,,,,0,1,,2,1,,,,0,,,,0
11,Fagus,grandifolia,,,,0,1,,2,1,,,,0,,,,0
11,Carya,cordiformis,,,,0,,,,0,2,,1,1,,,,0
11,Cardamine,douglassii,,,,0,,,,0,1,,2,1,3,,2,1
11,TARAXACUM,OFFICINALE,,,,0,,,,0,1,,1,1,,,,0
11,Sanicula,sp.,,,,0,,,,0,1,,2,1,4,,2,1
11,Onoclea,sensibilis,,,,0,,,,0,1,,2,1,4,,2,1
11,ROSA,MULTIFLORA,,,,0,,,,0,1,,2,1,1,,2,1
11,Maianthemum,racemosum,,,,0,,,,0,1,,1,1,,,,0
11,Acer,rubrum,,,,0,,,,0,,,,0,3,,1,1
11,RANUNCULUS,REPENS,,,,0,,,,0,,,,0,2,,2,1
11,Carex,sp.,,,,0,,,,0,,,,0,,4,2,1
11,Arisaema,triphyllum,,,,0,,,,0,,,,0,1,,2,1
12,Erythronium,americanum,2,2,2,1,2,4,2,1,2,2,2,1,,2,2,1
12,Arisaema,triphyllum,2,2,2,1,3,2,2,1,2,,2,1,,2,2,1
12,Fagus,grandifolia,2,2,4,1,4,,2,1,2,2,2,1,2,2,4,1
12,Cardamine,concatenata,1,,2,1,2,,2,1,1,,2,1,2,,2,1
12,Prenanthes,sp.,,2,2,1,2,,2,1,1,,2,1,,,,0
12,Moss,sp.,1,,2,1,,,,0,,,,0,2,,2,1
12,Panax,trifolius,,,,0,2,,1,1,,,,0,,,,0
12,Acer,saccharum,,,,0,,,,0,2,,2,1,,,,0
13,Prenanthes,sp.,4,4,6,1,4,4,7,1,4,4,6,1,4,4,6,1
13,Polygonum,virginianum,4,3,2,1,2,4,2,1,1,,2,1,,3,2,1
13,Viola,sp.,4,2,2,1,2,,1,1,3,3,2,1,,,,0
13,Floerkea,proserpinacoides,4,4,2,1,2,4,4,1,3,3,4,1,2,3,4,1
13,Sanicula,sp.,4,3,8,1,4,4,7,1,4,4,7,1,4,4,7,1
13,Aesculus,glabra,3,,2,1,2,,5,1,1,,2,1,3,2,3,1
13,RANUNCULUS,FICARIA,3,2,2,1,,4,3,1,2,,2,1,4,3,4,1
13,Arisaema,triphyllum,2,,2,1,1,,2,1,2,,2,1,,2,2,1
13,Erythronium,americanum,2,2,5,1,4,4,3,1,3,,4,1,4,3,5,1
13,Camassia,scilloides,2,3,6,1,4,,5,1,,3,6,1,4,,6,1
13,Acer,negundo,2,2,2,1,2,3,2,1,2,2,2,1,,2,2,1
13,CIRSIUM,ARVENSE,2,,2,1,,,,0,,,,0,,,,0
13,Cryptotaenia,canadensis,2,,1,1,,,,0,,,,0,2,,2,1
13,Polygonatum,biflorum,2,2,2,1,2,,2,1,2,,2,1,,,,0
13,Galium,aparine,,2,2,1,,2,1,1,2,,2,1,2,,1,1
13,Geum,sp.,,2,2,1,3,,2,1,,3,4,1,2,3,4,1
13,ALLIARIA,PETIOLATA,,2,2,1,2,3,3,1,2,3,4,1,,3,3,1
13,Unknown,dicot,,2,2,1,2,4,2,1,4,3,2,1,1,,2,1
13,Anemonella,thalictroides,,2,2,1,1,,2,1,,3,2,1,,,,0
13,HESPERIS,MATRONALIS,1,,2,1,2,2,2,1,2,3,3,1,,2,3,1
13,Ranunculus,fascicularis,1,,2,1,3,2,4,1,,3,3,1,1,,2,1
13,Allium,tricoccum,1,,3,1,2,2,2,1,1,,2,1,,4,2,1
13,Cardamine,concatenata,1,,2,1,,,,0,2,2,2,1,2,,2,1
13,Lilium,sp.,1,,2,1,,,,0,,,,0,,,,0
13,Prunus,virginiana,1,,2,1,,,,0,1,,2,1,3,3,2,1
13,Toxicodendron,radicans,1,,2,1,1,,2,1,1,,1,1,,,,0
13,ROSA,MULTIFLORA,,,,0,,3,1,1,2,,2,1,1,,2,1
13,Ranunculus,sp.,,,,0,,2,2,1,,3,2,1,4,,2,1
13,Erechtites,hieracifolia,,,,0,,2,2,1,4,,2,1,2,2,2,1
13,Claytonia,virginica,,,,0,1,,2,1,,,,0,,,,0
13,Phytolacca,americana,,,,0,1,,2,1,,,,0,,,,0
13,Allium,canadense,,,,0,1,,2,1,,,,0,,,,0
13,Trillium,sp.,,,,0,1,,1,1,2,,2,1,,,,0
13,Maianthemum,canadense,,,,0,,,,0,3,,2,1,1,,2,1
13,Podophyllum,peltatum,,,,0,,,,0,2,,2,1,,,,0
13,LIGUSTRUM,VULGARE,,,,0,,,,0,1,,2,1,,,,0
13,Ulmus,sp.,,,,0,,,,0,,,,0,2,,2,1
13,Sambucus,sp.,,,,0,,,,0,,,,0,1,,1,1
13,Moss,sp.,,,,0,,,,0,,,,0,1,,2,1
14,Quercus,alba,4,,2,1,,,,0,,,,0,,,,0
14,Toxicodendron,radicans,4,,2,1,1,,2,1,2,,2,1,,2,2,1
14,Acer,rubrum,3,,2,1,,,,0,3,2,2,1,,3,2,1
14,RHAMNUS,FRANGULA,3,,2,1,,,,0,2,,1,1,,2,1,1
14,Crataegus,sp.,2,,2,1,,,,0,1,,2,1,,,,0
14,Moss,sp.,2,,2,1,,2,2,1,3,2,2,1,2,2,2,1
14,Claytonia,virginica,2,,2,1,,,,0,,,,0,,2,2,1
14,Podophyllum,peltatum,,2,5,1,1,,2,1,,,,0,1,,2,1
14,Rubus,hispidus,,2,2,1,,,,0,,,,0,,2,3,1
14,Asteraceae,spp.,,2,2,1,2,,2,1,,,,0,,,,0
14,Smilax,rotundifolia,,2,3,1,1,,3,1,2,2,3,1,2,3,3,1
14,Arisaema,triphyllum,,2,2,1,,,,0,,,,0,,,,0
14,Leersia,virginica,,2,2,1,2,,2,1,,,,0,,,,0
14,Carex,sp.,1,,2,1,,,,0,,,,0,,,,0
14,Unknown,fern,1,,2,1,,,,0,,,,0,,,,0
14,Viola,sp.,1,,1,1,2,,2,1,,,,0,,,,0
14,Prunus,serotina,1,,2,1,,,,0,2,,2,1,1,,2,1
14,Fraxinus,americana,1,,2,1,,2,2,1,2,,2,1,2,3,2,1
14,Mitchella,repens,1,,2,1,,,,0,1,,2,1,1,,2,1
14,Carex,sp.,,,,0,2,2,2,1,2,,2,1,1,,2,1
14,Poa,sp.,,,,0,,2,2,1,,,,0,,,,0
14,Carpinus,caroliniana,,,,0,1,,2,1,,,,0,1,,2,1
14,Carya,sp.,,,,0,1,,2,1,2,,1,1,1,,1,1
14,Apocynaceae,spp.,,,,0,1,,2,1,,,,0,,,,0
14,Carex,sp.,,,,0,1,,2,1,2,,1,1,,,,0
14,Unknown,dicot,,,,0,1,,2,1,,,,0,,,,0
14,Carex,laxiculmis,,,,0,,,,0,2,,2,1,,,,0
14,Parthenocissus,quinquefolia,,,,0,,,,0,1,,2,1,1,,1,1
14,Lindera,benzoin,,,,0,,,,0,,2,2,1,1,,2,1
14,Vitis,sp.,,,,0,,,,0,1,,1,1,1,,1,1
14,Fagus,grandifolia,,,,0,,,,0,1,,2,1,1,,2,1
14,Polygonum,virginianum,,,,0,,,,0,,,,0,1,,1,1
14,Acer,saccharum,,,,0,,,,0,,,,0,1,,2,1
15,Viola,striata,4,4,9,1,4,4,8,1,4,3,6,1,4,3,5,1
15,Lilium,sp.,1,,2,1,,,,0,,2,2,1,3,,2,1
15,Thalictrum,pubescens,4,4,7,1,4,2,5,1,4,4,5,1,4,3,6,1
15,Parthenocissus,quinquefolia,4,,2,1,,,,0,,,,0,,,,0
15,Elymus,sp.,4,,4,1,4,4,5,1,3,3,3,1,,4,3,1
15,Asteraceae,spp.,4,3,3,1,4,4,3,1,3,4,4,1,3,4,4,1
15,Cryptotaenia,canadensis,4,4,6,1,4,3,6,1,4,4,4,1,4,3,4,1
15,Carex,sp.,4,2,4,1,1,,3,1,3,4,3,1,3,3,3,1
15,LYSIMACHIA,NUMMULARIA,4,4,7,1,4,4,5,1,4,4,6,1,4,4,5,1
15,Crataegus,sp.,4,,4,1,4,,4,1,4,4,5,1,4,3,4,1
15,Unknown,dicot,4,4,5,1,4,2,3,1,,2,2,1,2,2,2,1
15,Carex,sp.,3,3,8,1,4,3,5,1,4,3,7,1,2,3,7,1
15,Sanicula,sp.,3,2,6,1,4,4,6,1,4,4,7,1,4,4,5,1
15,Polygonum,virginianum,3,,7,1,4,4,6,1,4,4,5,1,2,4,4,1
15,Lysimachia,ciliata,3,2,7,1,4,4,5,1,3,4,3,1,3,2,4,1
15,Geum,sp.,3,3,2,1,3,2,2,1,1,,2,1,3,,2,1
15,Fraxinus,sp.,3,,2,1,2,3,2,1,2,2,2,1,3,,2,1
15,Galium,aparine,3,3,2,1,1,,4,1,1,,2,1,1,,2,1
15,Claytonia,virginica,3,4,3,1,1,,2,1,4,4,2,1,3,4,3,1
15,Viola,sororia,2,2,4,1,4,4,6,1,4,4,4,1,4,3,5,1
15,Ranunculus,hispidus,2,3,5,1,4,3,6,1,4,3,5,1,3,3,5,1
15,Allium,canadense,2,4,5,1,4,2,3,1,4,4,5,1,3,3,5,1
15,Verbesina,alternifolia,2,4,5,1,4,3,2,1,3,4,3,1,2,,2,1
15,Maianthemum,racemosum,2,,1,1,,,,0,,,,0,,,,0
15,HESPERIS,MATRONALIS,2,3,2,1,,,,0,,2,2,1,2,,2,1
15,Ulmus,sp.,2,,2,1,,2,2,1,2,2,2,1,2,3,2,1
15,Carex,sp.,,4,2,1,1,,3,1,4,4,7,1,4,,5,1
15,Floerkea,proserpinacoides,,4,2,1,2,,4,1,3,4,3,1,4,4,3,1
15,Circaea,lutetiana,,4,2,1,2,,2,1,1,,2,1,1,,2,1
15,Unknown,monocot,,4,2,1,,,,0,4,,2,1,3,,6,1
15,Rubus,occidentalis,,4,3,1,1,,3,1,,,,0,,,,0
15,Arisaema,dracontium,,3,2,1,,,,0,,,,0,,4,1,1
15,Impatiens,capensis,,3,2,1,3,2,5,1,1,,3,1,,2,2,1
15,URTICA,DIOICA,,3,2,1,,3,2,1,3,,2,1,,,,0
15,Agrimonia,parviflora,,2,2,1,2,,2,1,,2,2,1,,2,2,1
15,Cornus,sp.,,2,2,1,,3,2,1,1,,2,1,,3,3,1
15,Carex,sp.,,2,2,1,,,,0,1,,2,1,2,,3,1
15,ROSA,MULTIFLORA,,2,3,1,2,3,4,1,4,2,4,1,2,2,5,1
15,Ranunculus,abortivus,,3,1,1,,,,0,1,,2,1,2,,2,1
15,Monarda,sp.,,2,3,1,,,,0,,,,0,,,,0
15,Smilax,hispida,,2,3,1,2,2,2,1,2,3,2,1,,,,0
15,Lindera,benzoin,1,,2,1,1,,2,1,1,,2,1,4,2,2,1
15,Toxicodendron,radicans,1,,2,1,1,,2,1,3,4,2,1,4,2,5,1
15,Cerastium,sp.,1,,2,1,3,4,6,1,1,,2,1,,2,2,1
15,Cardamine,rhomboidea,1,,2,1,2,,2,1,1,,2,1,1,,2,1
15,Moss,sp.,1,,2,1,2,4,3,1,2,2,4,1,2,,4,1
15,Symplocarpus,foetidus,1,,2,1,2,,3,1,1,,5,1,1,,2,1
15,Galium,sp.,,,,0,4,2,4,1,4,4,5,1,3,3,4,1
15,Verbena,urticifolia,,,,0,3,,2,1,,,,0,2,,2,1
15,Unknown,dicot,,,,0,3,3,2,1,,3,2,1,,3,2,1
15,Unknown,dicot,1,,2,1,2,,2,1,2,,2,1,,,,0
15,Euonymus,obovatus,,,,0,2,,2,1,,,,0,,,,0
15,TRIFOLIUM,PRATENSE,,,,0,,4,4,1,,,,0,,2,2,1
15,Polygonum,sp.,,,,0,,4,2,1,3,,2,1,,,,0
15,Carex,sp.,,,,0,,4,2,1,1,,2,1,1,,2,1
15,Plantago,sp.,,,,0,,3,2,1,,,,0,,,,0
15,TARAXACUM,OFFICINALE,,,,0,,2,2,1,2,2,2,1,3,2,3,1
15,Amphicarpaea,bracteata,,,,0,,2,2,1,3,,2,1,4,,2,1
15,Carex,sp.,,,,0,,2,3,1,1,,6,1,4,2,5,1
15,Carex,sp.,,,,0,,2,2,1,,2,2,1,,2,2,1
15,Unknown,vine,,,,0,1,,2,1,,,,0,,3,2,1
15,Fragaria,virginiana,,,,0,1,,5,1,4,,3,1,3,,2,1
15,Ribes,sp.,,,,0,1,,2,1,2,,2,1,2,,2,1
15,Onoclea,sensibilis,,,,0,1,,2,1,,,,0,,,,0
15,Juncus,effusus,,,,0,1,,2,1,1,,2,1,,,,0
15,Rubus,allegheniensis,,,,0,,,,0,4,,2,1,3,,2,1
15,BARBAREA,VERNA,,,,0,,,,0,3,,2,1,,,,0
15,VERONICA,OFFICINALIS,,,,0,,,,0,3,,2,1,,,,0
15,Acer,saccharum,,,,0,,,,0,3,3,2,1,3,,2,1
15,Oxalis,stricta,,,,0,,,,0,3,,3,1,2,,2,1
15,Viburnum,dentatum,,,,0,,,,0,2,,1,1,,,,0
15,Acer,rubrum,,,,0,,,,0,2,,2,1,,,,0
15,Erythronium,americanum,,,,0,,,,0,2,,2,1,1,,2,1
15,Senecio,aureus,,,,0,,,,0,,2,1,1,,,,0
15,VIBURNUM,PLICATUM,,,,0,,,,0,,2,3,1,2,3,3,1
15,Panicum,sp.,,,,0,,,,0,1,,2,1,,2,2,1
15,Quercus,sp.,,,,0,,,,0,1,,2,1,3,,2,1
15,VIBURNUM,OPULUS,,,,0,,,,0,1,,2,1,,,,0
15,Carya,sp.,,,,0,,,,0,,,,0,3,,2,1
15,Viburnum,acerifolium,,,,0,,,,0,,,,0,3,,1,1
15,Juncus,tenuis,,,,0,,,,0,,,,0,3,2,5,1
15,Acer,negundo,,,,0,,,,0,,,,0,,3,2,1
15,Prunus,serotina,,,,0,,,,0,,,,0,,2,1,1
15,Zizia,aurea,,,,0,,,,0,,,,0,1,,2,1
16,Cardamine,concatenata,4,4,6,1,4,4,7,1,3,3,6,1,,4,5,1
16,ROSA,MULTIFLORA,3,2,6,1,1,,5,1,,3,3,1,,2,5,1
16,Allium,canadense,3,2,5,1,3,4,5,1,4,2,5,1,3,4,5,1
16,Prenanthes,sp.,3,4,6,1,2,2,6,1,3,4,7,1,3,4,6,1
16,Arisaema,triphyllum,2,,2,1,1,,2,1,1,,2,1,1,,2,1
16,Erythronium,americanum,2,4,4,1,,2,4,1,2,4,4,1,3,3,4,1
16,Asarum,canadense,2,,3,1,4,3,6,1,3,2,6,1,,2,5,1
16,Geum,sp.,2,2,2,1,2,,2,1,2,2,2,1,2,3,2,1
16,Prunus,serotina,2,3,2,1,2,,2,1,2,,2,1,1,,2,1
16,Fraxinus,sp.,2,3,2,1,1,,2,1,1,,2,1,2,2,2,1
16,Camassia,scilloides,2,,2,1,2,,2,1,,2,2,1,,,,0
16,RANUNCULUS,REPENS,,4,2,1,,,,0,,,,0,,,,0
16,Moss,sp.,,4,3,1,2,,4,1,,3,3,1,4,,3,1
16,Unknown,dicot,,4,2,1,,3,2,1,3,4,4,1,2,4,3,1
16,Claytonia,virginica,,3,2,1,,2,3,1,2,,3,1,1,,2,1
16,ALLIARIA,PETIOLATA,,2,3,1,,2,2,1,3,2,2,1,2,3,2,1
16,Acer,negundo,,2,2,1,1,,2,1,2,,2,1,,4,2,1
16,Sanicula,sp.,,2,2,1,1,,2,1,,,,0,1,,2,1
16,Impatiens,capensis,,2,2,1,,2,2,1,,2,2,1,,2,2,1
16,Floerkea,proserpinacoides,,2,2,1,,2,3,1,3,2,4,1,3,4,4,1
16,HESPERIS,MATRONALIS,1,,3,1,1,,2,1,1,,2,1,2,2,3,1
16,Erechtites,hieracifolia,1,,1,1,,,,0,3,2,2,1,3,3,2,1
16,Viola,sororia,1,,3,1,,2,3,1,1,,3,1,,3,3,1
16,Polygonum,virginianum,1,,3,1,2,2,2,1,4,2,2,1,2,3,2,1
16,Geranium,maculatum,1,,2,1,2,,3,1,,2,2,1,,3,2,1
16,Ulmus,sp.,1,,2,1,,2,2,1,3,,2,1,,2,2,1
16,Anemonella,thalictroides,1,,3,1,1,,2,1,1,,2,1,,,,0
16,Ribes,sp.,1,,2,1,3,,2,1,,,,0,,,,0
16,Viburnum,dentatum,1,,2,1,,,,0,2,,2,1,2,,2,1
16,Galium,aparine,1,,1,1,2,,1,1,1,,2,1,2,,2,1
16,Maianthemum,racemosum,,,,0,2,,1,1,,,,0,,,,0
16,Viola,pubescens,,,,0,1,,3,1,1,,3,1,1,,3,1
16,Prunus,virginiana,,,,0,,2,2,1,,,,0,,,,0
16,Lindera,benzoin,,,,0,1,,2,1,,2,2,1,1,,2,1
16,Galium,sp.,,,,0,,,,0,4,,2,1,,,,0
16,Osmorhiza,longistylis,,,,0,,,,0,,2,2,1,,,,0
16,Unknown,monocot,,,,0,,,,0,1,,2,1,2,,2,1
16,Erigenia,bulbosa,,,,0,,,,0,,,,0,2,,1,1
17,Acer,saccharum,4,2,2,1,3,,2,1,4,,2,1,3,3,2,1
17,Acer,rubrum,4,3,2,1,3,,2,1,4,3,2,1,,2,2,1
17,Mitchella,repens,3,,2,1,,2,2,1,2,,2,1,1,,2,1
17,Viburnum,acerifolium,2,2,5,1,,2,2,1,2,,3,1,,2,5,1
17,Vitis,sp.,2,2,1,1,,,,0,,,,0,,,,0
17,Moss,sp.,2,4,6,1,4,4,4,1,3,3,2,1,3,4,3,1
17,Prenanthes,sp.,2,4,2,1,1,,3,1,3,,2,1,1,,2,1
17,Carpinus,caroliniana,2,,2,1,,,,0,,,,0,,,,0
17,Quercus,sp.,2,2,2,1,2,,2,1,,,,0,,2,2,1
17,Tiarella,cordifolia,2,,3,1,,3,3,1,3,,3,1,,2,3,1
17,Polystichum,acrostichoides,2,2,4,1,4,3,4,1,3,2,3,1,2,2,4,1
17,Solidago,caesia,2,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1
17,Carex,sp.,2,3,3,1,2,,2,1,4,,2,1,,2,2,1
17,Rubus,allegheniensis,2,,2,1,,,,0,,,,0,,,,0
17,Liriodendron,tulipifera,2,2,1,1,2,,1,1,,3,1,1,,3,1,1
17,Fagus,grandifolia,2,,2,1,2,,2,1,2,,3,1,2,2,2,1
17,Festuca,sp.,2,,3,1,2,,2,1,2,2,2,1,,2,3,1
17,Conopholis,americana,,3,2,1,2,,2,1,1,,2,1,,2,3,1
17,Carex,sp.,,2,2,1,2,,2,1,1,,2,1,,,,0
17,Unknown,fern,,2,1,1,,,,0,,,,0,1,,1,1
17,Fraxinus,sp.,,2,1,1,1,,2,1,,,,0,2,2,2,1
17,Erythronium,americanum,1,,3,1,,4,3,1,4,3,3,1,2,3,3,1
17,Ulmus,sp.,1,,2,1,1,,2,1,2,,2,1,,,,0
17,Luzula,multiflora,1,,2,1,,,,0,3,,2,1,1,,3,1
17,Polygonatum,biflorum,1,,2,1,,,,0,1,,2,1,2,,2,1
17,Carex,sp.,1,,2,1,2,,2,1,2,,2,1,1,,2,1
17,Parthenocissus,quinquefolia,1,,1,1,2,,1,1,2,,1,1,,,,0
17,Crataegus,sp.,1,,1,1,,,,0,,,,0,1,,2,1
17,Carex,pensylvanica,,,,0,3,,2,1,,,,0,1,,2,1
17,Viola,rostrata,,,,0,2,,2,1,,,,0,1,,2,1
17,Carya,cordiformis,,,,0,2,,1,1,,,,0,,,,0
17,Toxicodendron,radicans,,,,0,,3,2,1,1,,1,1,,,,0
17,Prunus,serotina,,,,0,1,,2,1,3,,2,1,,,,0
17,Viola,pubescens,,,,0,1,,3,1,,,,0,,,,0
17,Viola,sororia,,,,0,1,,2,1,,,,0,,,,0
17,Galium,sp.,,,,0,1,,2,1,,,,0,1,,2,1
17,Euonymus,obovatus,,,,0,1,,2,1,,,,0,1,,2,1
17,Impatiens,capensis,,,,0,1,,2,1,,,,0,,,,0
17,Viola,canadensis,,,,0,1,,2,1,2,,2,1,,,,0
17,Cardamine,rhomboidea,,,,0,1,,2,1,,,,0,,,,0
17,Solidago,gigantea,,,,0,1,,1,1,,,,0,,,,0
17,Poa,sp.,,,,0,1,,2,1,3,,2,1,,,,0
17,BARBAREA,VERNA,,,,0,1,,2,1,,,,0,,,,0
17,Arisaema,triphyllum,,,,0,1,,2,1,2,,2,1,1,,1,1
17,Carex,laxiculmis,,,,0,1,,2,1,,,,0,,,,0
17,Senecio,obovatus,,,,0,1,,2,1,,,,0,,,,0
17,Ranunculus,recurvatus,,,,0,1,,1,1,,,,0,,,,0
17,Dryopteris,carthusiana,,,,0,1,,2,1,,,,0,,,,0
17,Amelanchier,sp.,,,,0,,,,0,,2,2,1,,,,0
17,Leersia,virginica,,,,0,1,,2,1,,,,0,,,,0
17,Ranunculus,abortivus,,,,0,1,,1,1,,,,0,,,,0
17,Polygonatum,pubescens,,,,0,,,,0,1,,2,1,2,,3,1
17,Hamamelis,virginiana,,,,0,,,,0,,,,0,2,2,2,1
17,Anemonella,thalictroides,,,,0,,,,0,,,,0,1,,2,1
17,Tilia,americana,,,,0,,,,0,,,,0,1,,2,1
17,ROSA,MULTIFLORA,,,,0,,,,0,,,,0,1,,1,1
17,Podophyllum,peltatum,,,,0,,,,0,,,,0,1,,1,1
17,Carya,sp.,,,,0,,,,0,,,,0,1,,1,1
18,Allium,canadense,3,4,5,1,4,2,4,1,4,4,3,1,2,4,4,1
18,Euonymus,obovatus,2,2,2,1,1,,2,1,3,,2,1,4,2,2,1
18,Asteraceae,spp.,2,4,2,1,3,2,2,1,2,,2,1,2,3,2,1
18,Erythronium,americanum,2,,4,1,4,,5,1,,3,2,1,,,,0
18,Moss,sp.,,4,4,1,1,,5,1,,4,2,1,2,,3,1
18,RANUNCULUS,FICARIA,,3,2,1,,3,2,1,4,3,4,1,,,,0
18,Prenanthes,sp.,,2,2,1,1,,2,1,,,,0,,,,0
18,Cardamine,concatenata,,2,1,1,,,,0,,,,0,,,,0
18,BERBERIS,THUNBERGII,1,,2,1,1,,2,1,,2,2,1,1,,1,1
18,Lysimachia,ciliata,1,,1,1,,,,0,,,,0,,,,0
18,Polygonatum,pubescens,1,,2,1,1,,2,1,,,,0,,,,0
18,Prunus,serotina,1,,1,1,3,,2,1,,,,0,,,,0
18,Prunus,virginiana,1,,2,1,,2,2,1,1,,3,1,,,,0
18,Fagus,grandifolia,,,,0,2,,1,1,,,,0,,,,0
18,Picea,sp.,,,,0,1,,1,1,,,,0,,,,0
18,ROSA,MULTIFLORA,,,,0,1,,2,1,,2,2,1,2,,2,1
18,Arisaema,triphyllum,,,,0,1,,2,1,3,,2,1,,2,2,1
18,Acer,sp.,,,,0,,,,0,3,,2,1,2,,2,1
18,ALLIARIA,PETIOLATA,,,,0,,,,0,3,,2,1,,,,0
18,Acer,negundo,,,,0,,,,0,3,,1,1,,,,0
18,LONICERA,MORROWII,,,,0,,,,0,2,,1,1,,,,0
18,Maianthemum,racemosum,,,,0,,,,0,2,,1,1,1,,1,1
18,LIGUSTRUM,VULGARE,,,,0,,,,0,,2,2,1,,2,2,1
18,Polygonatum,biflorum,,,,0,,,,0,1,,2,1,1,,2,1
18,Allium,tricoccum,,,,0,,,,0,1,,2,1,,,,0
18,Unknown,monocot,,,,0,,,,0,1,,2,1,,,,0
18,Unknown,dicot,,,,0,,,,0,,,,0,4,,2,1
18,EUONYMUS,FORTUNEI,,,,0,,,,0,,,,0,2,,1,1
18,Vitis,sp.,,,,0,,,,0,,,,0,,2,1,1
18,Crataegus,sp.,,,,0,,,,0,,,,0,,2,1,1
19,Erythronium,americanum,4,4,6,1,3,2,3,1,4,4,5,1,3,4,6,1
